,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1971,gpt-3.5-turbo,CHAPTER ONE,3,23," for Demons

IT WAS FELLING NIGHT, and the usual crowd had gathered at the
Waystone Inn","[' for', ' Dem', 'ons', '\n\n', 'IT', ' WAS', ' F', 'ELL']","['and', ' unnatural', ' spirits', ' that', ' caused', ' the', ' downfall', ' of', ' man', ',', ' not', ' his', ' own', ' inherent', ' nature']","['ING', ' NIGHT', ',', ' and', ' the', ' usual', ' crowd', ' had', ' gathered', ' at', ' the', '\n', 'Way', 'stone', ' Inn']",1.0,"and unnatural spirits that caused the downfall of man, not his own inherent nature.","ING NIGHT, and the usual crowd had gathered at the
Waystone Inn",tensor([[0.7703]]),7,"[tensor([[0.7354]]), tensor([[0.7543]]), tensor([[0.7218]]), tensor([[0.7474]]), tensor([[0.7613]]), tensor([[0.7700]]), tensor([[0.7703]]), tensor([[0.7618]]), tensor([[0.7564]]), tensor([[0.7613]]), tensor([[0.7501]]), tensor([[0.7464]]), tensor([[0.7524]]), tensor([[0.7541]]), tensor([[0.7444]])]",2,24
695,gpt-3.5-turbo,Game of Thrones,4,36,"The morning had dawned clear and cold, with a crispness that hinted at the end of 
summer. They set forth at daybreak to see a man beheaded, twenty","['The', ' morning', ' had', ' dawn', 'ed', ' clear', ' and', ' cold', ',']","['with', ' a', ' crisp', 'ness', ' that', ' hinted', ' at', ' the', ' end', ' of', ' summer', '.']","[' with', ' a', ' crisp', 'ness', ' that', ' hinted', ' at', ' the', ' end', ' of', ' \n', 'summer']",0.25,with a crispness that hinted at the end of summer.," with a crispness that hinted at the end of 
summer. They set forth at daybreak to see a man beheaded, twenty",tensor([[0.8705]]),11,"[tensor([[0.7546]]), tensor([[0.8038]]), tensor([[0.7995]]), tensor([[0.8354]]), tensor([[0.8342]]), tensor([[0.8463]]), tensor([[0.8435]]), tensor([[0.8473]]), tensor([[0.8567]]), tensor([[0.8625]]), tensor([[0.8705]])]",3,23
575,gpt-3.5-turbo,The Night Circus,5,30,"stern

The man billed as Prospero the Enchanter receives a fair amount of correspondence via the theater office, but this is the first envelope","['st', 'ern', '\n\n', 'The', ' man', ' billed']","['as', ' the', ' world', ""'s"", ' greatest', ' escape', ' artist', ',', ' Harry', ' H', 'oud', 'ini', ',', ' once', ' said', ',', ' ""', 'My', ' brain', ' is', ' the', ' key', ' that', ' sets']","[' as', ' Prosper', 'o', ' the', ' En', 'chan', 'ter', ' receives', ' a', ' fair', ' amount', ' of', ' correspondence', ' via', ' the', ' theater', ' office', ',', ' but', ' this', ' is', ' the', ' first', ' envelope']",0.9166666666666666,"as the world's greatest escape artist, Harry Houdini, once said, ""My brain is the key that sets me free."""," as Prospero the Enchanter receives a fair amount of correspondence via the theater office, but this is the first envelope",tensor([[0.7874]]),3,"[tensor([[0.7614]]), tensor([[0.7563]]), tensor([[0.7874]]), tensor([[0.7625]]), tensor([[0.7592]]), tensor([[0.7592]]), tensor([[0.7636]]), tensor([[0.7577]]), tensor([[0.7621]]), tensor([[0.7684]]), tensor([[0.7551]]), tensor([[0.7573]]), tensor([[0.7417]]), tensor([[0.7402]]), tensor([[0.7399]]), tensor([[0.7409]]), tensor([[0.7443]]), tensor([[0.7503]]), tensor([[0.7461]]), tensor([[0.7542]])]",4,33
123,gpt-3.5-turbo,Harry Potter ,9,35,". Dursley, of number four, Privet Drive, were
proud to say that they were perfectly normal, thank
you very much.  ey were","['.', ' D', 'urs', 'ley', ',', ' of', ' number', ' four', ',', ' Priv', 'et']","['Drive', ',', ' were', ' proud', ' to', ' say', ' that', ' they', ' were', ' perfectly', ' normal', ',', ' thank', ' you', ' very', ' much', '.']","[' Drive', ',', ' were', '\n', 'p', 'roud', ' to', ' say', ' that', ' they', ' were', ' perfectly', ' normal', ',', ' thank', '\n', 'you']",0.4705882352941176,"Drive, were proud to say that they were perfectly normal, thank you very much."," Drive, were
proud to say that they were perfectly normal, thank
you very much.  ey were",tensor([[0.9952]]),14,"[tensor([[0.7890]]), tensor([[0.8345]]), tensor([[0.8635]]), tensor([[0.9112]]), tensor([[0.9134]]), tensor([[0.9183]]), tensor([[0.9171]]), tensor([[0.9213]]), tensor([[0.9270]]), tensor([[0.9538]]), tensor([[0.9813]]), tensor([[0.9906]]), tensor([[0.9921]]), tensor([[0.9952]]), tensor([[0.9926]])]",8,35
452,gpt-3.5-turbo,The Night Circus,10,28," billed as Prospero the Enchanter receives a fair amount of correspondence via the theater office, but this is the first envelope addressedto him","[' billed', ' as', ' Prosper', 'o', ' the', ' En']","['chan', 'ter', ',', ' when', ' to', ' the', ' sessions', ' of', ' sweet', ' silent', ' thought', ' I', ' summon', ' up', ' rem', 'embrance', ' of', ' things', ' past', ',', ' I', ' sigh']","['chan', 'ter', ' receives', ' a', ' fair', ' amount', ' of', ' correspondence', ' via', ' the', ' theater', ' office', ',', ' but', ' this', ' is', ' the', ' first', ' envelope', ' addressed', 'to', ' him']",0.9090909090909092,"chanter, when to the sessions of sweet silent thought I summon up remembrance of things past, I sigh the lack of many a thing I sought, And with old woes new wail my dear time's waste.","chanter receives a fair amount of correspondence via the theater office, but this is the first envelope addressedto him",tensor([[0.8320]]),5,"[tensor([[0.7471]]), tensor([[0.8295]]), tensor([[0.8175]]), tensor([[0.8243]]), tensor([[0.8320]]), tensor([[0.8005]]), tensor([[0.8064]]), tensor([[0.7979]]), tensor([[0.7935]]), tensor([[0.7904]]), tensor([[0.7920]]), tensor([[0.7886]]), tensor([[0.7929]]), tensor([[0.7924]]), tensor([[0.7842]]), tensor([[0.7909]]), tensor([[0.7971]]), tensor([[0.7980]]), tensor([[0.7816]]), tensor([[0.7823]]), tensor([[0.7689]]), tensor([[0.7660]]), tensor([[0.7725]]), tensor([[0.7744]]), tensor([[0.7733]]), tensor([[0.7728]]), tensor([[0.7731]]), tensor([[0.7731]]), tensor([[0.7728]]), tensor([[0.7722]]), tensor([[0.7692]]), tensor([[0.7719]]), tensor([[0.7733]]), tensor([[0.7758]]), tensor([[0.7807]]), tensor([[0.7782]]), tensor([[0.7784]])]",9,36
1285,gpt-3.5-turbo,Six of Crows,12,36," rounds at the Hoede house, but for the
last fifteen minutes, he’d been hovering around the south-east wall of the
gardens, trying to think of something clever","[' rounds', ' at', ' the', ' Ho', 'ede', ' house', ',', ' but']","['it', ' was', ' the', ' best', ' of', ' times', ',', ' it', ' was', ' the', ' worst', ' of', ' times', '.']","[' for', ' the', '\n', 'last', ' fifteen', ' minutes', ',', ' he', '’d', ' been', ' hovering', ' around', ' the', ' south']",0.9285714285714286,"it was the best of times, it was the worst of times."," for the
last fifteen minutes, he’d been hovering around the south-east wall of the
gardens, trying to think of something clever",tensor([[0.7893]]),3,"[tensor([[0.7502]]), tensor([[0.7605]]), tensor([[0.7893]]), tensor([[0.7785]]), tensor([[0.7593]]), tensor([[0.7708]]), tensor([[0.7642]]), tensor([[0.7603]]), tensor([[0.7628]]), tensor([[0.7680]]), tensor([[0.7545]]), tensor([[0.7596]]), tensor([[0.7570]])]",11,32
131,gpt-3.5-turbo,Harry Potter ,14,32," of number four, Privet Drive, were
proud to say that they were perfectly normal, thank
you very much.  ey were the last","[' of', ' number', ' four', ',', ' Priv', 'et', ' Drive', ',', ' were', '\n', 'p', 'roud', ' to', ' say', ' that', ' they']","['were', ' perfectly', ' normal', ',', ' thank', ' you', ' very', ' much', '.']","[' were', ' perfectly', ' normal', ',', ' thank', '\n', 'you', ' very', ' much']",0.4444444444444444,"were perfectly normal, thank you very much."," were perfectly normal, thank
you very much.  ey were the last",tensor([[0.9469]]),7,"[tensor([[0.8157]]), tensor([[0.8635]]), tensor([[0.8870]]), tensor([[0.9167]]), tensor([[0.9295]]), tensor([[0.9449]]), tensor([[0.9469]]), tensor([[0.9435]])]",13,37
270,gpt-3.5-turbo,Circe,16,29," I was did not exist. They called me nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the","[' I', ' was', ' did', ' not', ' exist', '.', ' They', ' called', ' me']","['""The', ' greatest', ' glory', ' in', ' living', ' lies', ' not', ' in', ' never', ' falling', ',', ' but', ' in', ' rising', ' every', ' time', ' we', ' fall', '.""', ' -']","[' nymph', ',', ' assuming', ' I', '\n', 'would', ' be', ' like', ' my', ' mother', ' and', ' a', 'unts', ' and', ' thousand', ' cousins', '.', ' Least', ' of', ' the']",1.0,"""The greatest glory in living lies not in never falling, but in rising every time we fall."" - Nelson Mandela"," nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the",tensor([[0.8111]]),2,"[tensor([[0.7942]]), tensor([[0.8111]]), tensor([[0.7710]]), tensor([[0.7604]]), tensor([[0.7600]]), tensor([[0.7769]]), tensor([[0.7569]]), tensor([[0.7726]]), tensor([[0.7833]]), tensor([[0.7835]]), tensor([[0.7895]]), tensor([[0.7902]]), tensor([[0.7910]]), tensor([[0.7891]]), tensor([[0.7922]]), tensor([[0.7870]]), tensor([[0.7872]]), tensor([[0.7915]]), tensor([[0.7908]]), tensor([[0.7883]]), tensor([[0.8024]])]",15,43
1341,gpt-3.5-turbo,Six of Crows,30,37," hovering around the south-east wall of the
gardens, trying to think of something clever and romantic to say to Anya.
If only Anya’s eyes were blue like the sea","[' hovering', ' around', ' the', ' south', '-east', ' wall', ' of', ' the', '\n', 'gard', 'ens', ',', ' trying', ' to', ' think']","['of', ' something', ' to', ' do', '.']","[' of', ' something', ' clever', ' and', ' romantic']",0.8,of something to do.," of something clever and romantic to say to Anya.
If only Anya’s eyes were blue like the sea",tensor([[0.8186]]),4,"[tensor([[0.7815]]), tensor([[0.7856]]), tensor([[0.8102]]), tensor([[0.8186]]), tensor([[0.7891]])]",29,48
640,gpt-3.5-turbo,Game of Thrones,32,38," to see a man beheaded, twenty in all, and Bran rode among 
them, nervous with excitement. This was the first time he had been deemed old enough to go 
with his","[' to', ' see', ' a', ' man', ' be', 'headed', ',', ' twenty', ' in', ' all']","[',', ' and', ' each', ' one', ' is', ' afraid', ' of', ' losing', ' his', ' head', '.']","[',', ' and', ' Bran', ' rode', ' among', ' \n', 'them', ',', ' nervous', ' with', ' excitement']",0.8181818181818182,", and each one is afraid of losing his head.",", and Bran rode among 
them, nervous with excitement. This was the first time he had been deemed old enough to go 
with his",tensor([[0.8080]]),11,"[tensor([[0.7394]]), tensor([[0.7951]]), tensor([[0.7982]]), tensor([[0.7745]]), tensor([[0.7677]]), tensor([[0.7742]]), tensor([[0.7970]]), tensor([[0.7974]]), tensor([[0.7895]]), tensor([[0.8017]]), tensor([[0.8080]])]",31,51
