,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
736,gpt-3.5-turbo,Amplified Bible,2,34,"ESIS 1
1In the beginning God (Elohim) created [by forming from nothing] the heavens and the earth. 
2The earth was formless","['ESIS', ' ', '1', '\n', '1', 'In', ' the', ' beginning', ' God', ' (', 'E']","['lo', 'him', ')', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.']","['lo', 'him', ')', ' created', ' [', 'by', ' forming', ' from', ' nothing', ']']",0.6,lohim) created the heavens and the earth.,"lohim) created [by forming from nothing] the heavens and the earth. 
2The earth was formless",tensor([[0.9356]]),8,"[tensor([[0.7431]]), tensor([[0.8564]]), tensor([[0.8882]]), tensor([[0.8887]]), tensor([[0.9195]]), tensor([[0.9293]]), tensor([[0.9272]]), tensor([[0.9356]])]",1,21
43,gpt-3.5-turbo,Christian Standard Bible ,3,37,"1
1 In the beginning God created the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the watery depths, and the","['1', '\n', '1', ' In', ' the', ' beginning', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.', ' \n']","['2', '\n', '2', ' The', ' only', ' way', ' to', ' do', ' great', ' work', ' is', ' to', ' love', ' what', ' you', ' do', '.']","['2', ' Now', ' the', ' earth', ' was', ' form', 'less', ' and', ' empty', ',', ' darkness', ' covered', ' the', ' surface', ' of', ' the', ' wat']",0.9411764705882352,"2
2 The only way to do great work is to love what you do.","2 Now the earth was formless and empty, darkness covered the surface of the watery depths, and the",tensor([[0.7897]]),3,"[tensor([[0.7326]]), tensor([[0.7633]]), tensor([[0.7897]]), tensor([[0.7889]]), tensor([[0.7818]]), tensor([[0.7787]]), tensor([[0.7712]]), tensor([[0.7641]]), tensor([[0.7662]]), tensor([[0.7701]]), tensor([[0.7684]]), tensor([[0.7533]]), tensor([[0.7493]]), tensor([[0.7580]]), tensor([[0.7374]])]",2,33
250,gpt-3.5-turbo,English Standard Bible,4,20,"The Creation of the World
1 In the abeginning, God created the heavens and the earth","['The', ' Creation', ' of', ' the', ' World', '\n', '1', ' In', ' the', ' ab']","['begin', 'ning', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.']","['egin', 'ning', ',', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth']",0.3,beginning God created the heavens and the earth.,"eginning, God created the heavens and the earth",tensor([[0.9233]]),9,"[tensor([[0.7511]]), tensor([[0.7930]]), tensor([[0.8271]]), tensor([[0.8495]]), tensor([[0.8631]]), tensor([[0.9112]]), tensor([[0.9138]]), tensor([[0.9161]]), tensor([[0.9233]])]",3,22
297,gpt-3.5-turbo,English Standard Bible,6,31," of the World
1 In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and","[' of', ' the', ' World', '\n', '1', ' In', ' the', ' ab', 'egin', 'ning', ',']","['God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.']","[' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.']",0.125,God created the heavens and the earth.," God created the heavens and the earth. 
2 The earth was bwithout form and void, and",tensor([[0.9254]]),6,"[tensor([[0.7408]]), tensor([[0.8072]]), tensor([[0.8521]]), tensor([[0.8625]]), tensor([[0.9078]]), tensor([[0.9254]]), tensor([[0.9221]]), tensor([[0.9229]])]",5,23
59,gpt-3.5-turbo,Christian Standard Bible ,10,32," created the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of","[' created', ' the', ' heavens', ' and', ' the', ' earth', '.', ' \n', '2', ' Now', ' the', ' earth', ' was']","['form', 'less', ' and', ' empty', ',', ' darkness', ' was', ' over', ' the', ' surface', ' of', ' the', ' deep', ',', ' and', ' the', ' Spirit', ' of', ' God']","[' form', 'less', ' and', ' empty', ',', ' darkness', ' covered', ' the', ' surface', ' of', ' the', ' wat', 'ery', ' depths', ',', ' and', ' the', ' Spirit', ' of']",0.3684210526315789,"formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters."," formless and empty, darkness covered the surface of the watery depths, and the Spirit of",tensor([[0.9698]]),16,"[tensor([[0.7515]]), tensor([[0.8365]]), tensor([[0.8608]]), tensor([[0.8966]]), tensor([[0.9212]]), tensor([[0.9412]]), tensor([[0.9280]]), tensor([[0.9471]]), tensor([[0.9579]]), tensor([[0.9594]]), tensor([[0.9604]]), tensor([[0.9590]]), tensor([[0.9617]]), tensor([[0.9628]]), tensor([[0.9673]]), tensor([[0.9698]]), tensor([[0.9549]]), tensor([[0.9515]]), tensor([[0.9453]]), tensor([[0.9462]]), tensor([[0.9500]]), tensor([[0.9593]])]",9,40
174,gpt-3.5-turbo,Christian Standard Bible ,11,31," the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of","[' the', ' heavens', ' and', ' the', ' earth', '.', ' \n', '2', ' Now', ' the', ' earth', ' was', ' form']","['ed', ' and', ' empty', ',', ' darkness', ' was', ' over', ' the', ' surface', ' of', ' the', ' deep', ',', ' and', ' the', ' Spirit', ' of', ' God']","['less', ' and', ' empty', ',', ' darkness', ' covered', ' the', ' surface', ' of', ' the', ' wat', 'ery', ' depths', ',', ' and', ' the', ' Spirit', ' of']",0.3888888888888889,"ed and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters.","less and empty, darkness covered the surface of the watery depths, and the Spirit of",tensor([[0.9491]]),22,"[tensor([[0.7525]]), tensor([[0.7123]]), tensor([[0.7454]]), tensor([[0.8545]]), tensor([[0.8740]]), tensor([[0.8942]]), tensor([[0.8929]]), tensor([[0.9138]]), tensor([[0.9327]]), tensor([[0.9281]]), tensor([[0.9346]]), tensor([[0.9416]]), tensor([[0.9416]]), tensor([[0.9394]]), tensor([[0.9479]]), tensor([[0.9483]]), tensor([[0.9352]]), tensor([[0.9339]]), tensor([[0.9341]]), tensor([[0.9325]]), tensor([[0.9345]]), tensor([[0.9491]])]",10,40
885,gpt-3.5-turbo,King James Bible,11,36," earth.
2And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.
","[' earth', '.\n', '2', 'And', ' the', ' earth', ' was', ' without', ' form', ',', ' and', ' void', ';', ' and']","['dark', 'ness', ' was', ' upon', ' the', ' face', ' of', ' the', ' deep', '.']","[' darkness', ' was', ' upon', ' the', ' face', ' of', ' the', ' deep', '.', ' And']",0.3,darkness was upon the face of the deep.," darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.
",tensor([[0.9252]]),9,"[tensor([[0.7690]]), tensor([[0.8192]]), tensor([[0.8594]]), tensor([[0.8563]]), tensor([[0.8770]]), tensor([[0.8919]]), tensor([[0.9010]]), tensor([[0.9038]]), tensor([[0.9252]])]",10,33
916,gpt-3.5-turbo,King James Bible,12,32,".
2And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of","['.\n', '2', 'And', ' the', ' earth', ' was', ' without', ' form', ',', ' and', ' void', ';', ' and', ' darkness', ' was', ' upon']","['the', ' face', ' of', ' the', ' deep', '.']","[' the', ' face', ' of', ' the', ' deep', '.']",0.1666666666666666,the face of the deep., the face of the deep. And the Spirit of God moved upon the face of,tensor([[0.9275]]),6,"[tensor([[0.7784]]), tensor([[0.8297]]), tensor([[0.8592]]), tensor([[0.8788]]), tensor([[0.8754]]), tensor([[0.9275]])]",11,32
662,gpt-3.5-turbo,Amplified Bible,13,25,"lohim) created [by forming from nothing] the heavens and the earth. 
2The earth was formless and void","['lo', 'him', ')', ' created', ' [', 'by']","['the', ' gods', ']', ' equal', ' to', ' the', ' gods', ',', ' in', ' order', ' to', ' make', ' the', ' human', ' race', ' happy', ',', ' to', ' best']","[' forming', ' from', ' nothing', ']', ' the', ' heavens', ' and', ' the', ' earth', '.', ' \n', '2', 'The', ' earth', ' was', ' form', 'less', ' and', ' void']",1.0,"the gods] equal to the gods, in order to make the human race happy, to bestow peace upon them, and to establish that the gods, since they are immortal and eternal, should be worshipped by mortals."," forming from nothing] the heavens and the earth. 
2The earth was formless and void",tensor([[0.8042]]),12,"[tensor([[0.7597]]), tensor([[0.8004]]), tensor([[0.7985]]), tensor([[0.7835]]), tensor([[0.7933]]), tensor([[0.7947]]), tensor([[0.7961]]), tensor([[0.7949]]), tensor([[0.7878]]), tensor([[0.7934]]), tensor([[0.7975]]), tensor([[0.8042]]), tensor([[0.7954]]), tensor([[0.8012]]), tensor([[0.7815]]), tensor([[0.7863]]), tensor([[0.7911]]), tensor([[0.7874]]), tensor([[0.7856]]), tensor([[0.7804]]), tensor([[0.7810]]), tensor([[0.7810]]), tensor([[0.7861]]), tensor([[0.7842]]), tensor([[0.7871]]), tensor([[0.7837]]), tensor([[0.7850]]), tensor([[0.7840]]), tensor([[0.7853]]), tensor([[0.7904]]), tensor([[0.7892]]), tensor([[0.7939]]), tensor([[0.7897]]), tensor([[0.7899]]), tensor([[0.7837]]), tensor([[0.7826]]), tensor([[0.7798]])]",12,36
418,gpt-3.5-turbo,New Living Translation Bible,14,31," The earth was formless and empty, and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters.
3 Then","[' The', ' earth', ' was', ' form', 'less', ' and', ' empty', ',', ' and', ' darkness', ' covered']","['the', ' surface', ' of', ' the', ' deep', ',', ' and', ' the', ' Spirit', ' of', ' God', ' was', ' hovering', ' over', ' the', ' waters', '.']","[' the', ' deep', ' waters', '.', ' And', ' the', ' Spirit', ' of', ' God', ' was', ' hovering', ' over', ' the', ' surface', ' of', ' the', ' waters']",0.5882352941176471,"the surface of the deep, and the Spirit of God was hovering over the waters."," the deep waters. And the Spirit of God was hovering over the surface of the waters.
3 Then",tensor([[0.9782]]),16,"[tensor([[0.7415]]), tensor([[0.7925]]), tensor([[0.8052]]), tensor([[0.8158]]), tensor([[0.8186]]), tensor([[0.8883]]), tensor([[0.8912]]), tensor([[0.8889]]), tensor([[0.9171]]), tensor([[0.9170]]), tensor([[0.9283]]), tensor([[0.9431]]), tensor([[0.9582]]), tensor([[0.9635]]), tensor([[0.9671]]), tensor([[0.9782]])]",13,40
